access_group,model,split,note,status,coverage,rows,empty_predictions,exact_match_rate,hallucination_rate,cer,wer,micro_cer,micro_wer,char_fscore,total_cost_usd,avg_latency_sec
closed,Gemini Pro,handwritten,full clean-ish,ok:910; empty_prediction:9,1.0,919,9.0,0.0195865070729053,0.0097932535364526,0.6004763497863562,0.7408784323108093,0.6407216865736077,0.7608520088835049,0.5143451459881789,4.99201200000004,5.220357965722567
closed,Gemini Pro,printed,full printed run; budget-error rows backfilled from older Gemini Pro output,ok:11271; empty_prediction:121,1.0,11392,121.0,0.035990168539325844,0.012025983146067416,0.6611980842018251,0.7090205342069591,0.7027242405991113,0.7393175310213173,0.46400373507522824,61.410764,4.630270391242223
closed,GPT-5.4 mini,handwritten,full,ok:919,1.0,919,0.0,0.0065288356909684,0.0,0.3366293065538614,0.7541332036362979,0.3342747157864441,0.7452049263072885,0.728505179529697,0.8301009999999996,1.2449668027111962
closed,GPT-5.4 mini,printed,partial/running if rows<11392,ok:11392,1.0,11392,0.0,0.111130617977528,8.778089887640449e-05,0.1000240475008684,0.3135340812184865,0.0977244831857803,0.3027441934457525,0.924335060719746,4.006786000000002,1.2574015759726924
open/general,Qwen 8B,handwritten,full,ok:919,1.0,919,0.0,0.0119695321001088,0.0087051142546245,0.4784106250620098,0.756654071754952,0.4799251690890775,0.7555017161316374,0.683694416501051,0.7700439999999986,1.408527614242753
open/general,Qwen 8B,printed,full,ok:11392,1.0,11392,0.0,0.3335674157303371,8.778089887640449e-05,0.0450961372306888,0.1667000335010584,0.0405339750656317,0.1563553929366846,0.9705053453393884,3.942397499999988,1.003267500527476
open/general,Qwen 32B,handwritten,full,ok:919,1.0,919,0.0,0.0097932535364526,0.0076169749727965,0.5767135765687791,0.8208348491579271,0.5674557490286373,0.8127397536846356,0.6420146991126561,0.7817199999999995,1.711151031207727
open/general,Qwen 32B,printed,full,ok:11392,1.0,11392,0.0,0.3259304775280899,0.0,0.0469169880719903,0.1753670406144154,0.0444917662033617,0.1687241489023226,0.9681718420344648,3.94877550000001,1.3010844967715192
open/general,EasyOCR,handwritten,full local,ok:918; empty_prediction:1,1.0,919,1.0,0.0,0.001088139281828,0.4894628592986213,1.122886203848567,0.4833249388401209,1.1007470220068645,0.5825262899309328,0.0,0.0903752205550865
open/general,EasyOCR,printed,full local,ok:11372; empty_prediction:20,1.0,11392,20.0,0.0628511235955056,0.001755617977528,0.0924253979905541,0.3779742601038757,0.0865074268959325,0.3608415526566974,0.9377802496743628,0.0,0.0471235483549953
open/general,Gemma-3-27B,handwritten,full,ok:919,1.0,919,0.0,0.0032644178454842,0.0141458106637649,0.879829980585843,1.254088872883531,0.9414484098431428,1.3008277811427418,0.4116717436613911,0.0335770399999999,1.2785197080024828
open/general,Gemma-3-27B,printed,full strict prompt,ok:11150; empty_prediction:197; error:45,1.0,11392,242.0,0.0335323033707865,0.0322155898876404,0.6129488631131377,0.8876246051492708,0.6755165300996693,0.9340359529112312,0.5112655143887729,0.3931179200000004,2.108084756504284
arabic-specialized,Qari-OCR v0.3,handwritten,"full, html stripped",ok:913; error:6,1.0,919,6.0,0.0032644178454842,0.0816104461371055,0.6801928675243779,1.144372581878351,0.6660130954094114,1.0708661417322836,0.5877640203932993,0.0,2.068648719683825
arabic-specialized,Qari-OCR v0.3,printed,"full, html stripped",ok:11379; error:5; empty_prediction:8,1.0,11392,13.0,0.3807935393258427,0.0157127808988764,0.0924131891636017,0.1978655556667342,0.0889409144117012,0.1849586382437162,0.9471771706699114,0.0,0.7455746977893489
arabic-specialized,AIN 7B,printed,full after five-row retry,ok:11392,1.0,11392,0.0,0.7328827247191011,0.0,0.0076174607254248,0.0445167378694625,0.0072564239524496,0.0447104677060133,0.9946622999962316,0.0,0.9829155948180496
arabic-specialized,AIN 7B,handwritten,merged original+A4500 retry+A100 retry,ok:919,1.0,919,0.0,0.2100108813928183,0.0,0.0663655873293723,0.2501308055052197,0.0690387106058425,0.2543912780133253,0.945199434432947,0.0,1.1972093366824244
closed,Gemini Flash,handwritten,standardized 919-row handwritten subset from raw Flash file,ok:915; unknown:3; error:1,1.0,919,3.0,0.0554951033732317,0.0021762785636561,0.3118160682132752,0.4642550561207834,0.3300311704579736,0.457399555847769,0.6699688295420263,4.6753325,1.950323485706332
closed,Gemini Flash,printed,existing filtered printed Flash evaluation with hallucination/Char F1 added,ok:7819,unknown,7819,0.0,0.3581020590868397,0.0,0.0312309550431052,0.1541977420311024,0.0292226403808289,0.1422388719547665,0.970777359619171,39.357965,3.926097718496216
open_access,Qwen2.5-VL-72B,handwritten,full 919-row handwritten run via OpenRouter,ok:919,1.0,919,0.0,0.0141458106637649,0.0032644178454842,0.379977179827081,0.6871614061952531,0.3666475583103435,0.6696951342620634,0.6333524416896564,0.4870655999999664,2.398060378883038
